Creditor_Name ,Invoice Line Amount,Payment_Date,Expenditure Category/Description,LA Department
REDACTED PERSONAL INFORMATION,1148,45363,Community Care Direct Payments,Health and Adult Services
CAMBIAN WHINFELL SCHOOL LIMITED,16104.9,45306,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,1148,45363,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,759,45294,Other Services,Childrens Services
LEWISHAM SOUTHWARK COLLEGE,5481.67,45316,MIsc,Childrens Services
WERNICK BUILDINGS LIMITED,323277.7,45296,Newbuild,Capital Housing Revenue Acc
KILLGERM CHEMICALS LTD,1419.84,45306,Equipment,Comm Safety and Environment
REDACTED PERSONAL INFORMATION,865.76,45330,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1148,45363,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,792.4,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1246.25,45309,MIsc,Childrens Services
SANCTUARY CARE LTD,6017.63,45293,Private Sector Nursing Homes,Health and Adult Services
GREENWICH INCLUSION PROJECT (GRIP),2916,45314,Grants To Voluntary Organ,Health and Adult Services
REDACTED PERSONAL INFORMATION,9910.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,750.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,4437.36,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,846.16,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-164.72,45294,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,2865.96,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,7188,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1099.28,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1099.28,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1638,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,3690.44,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,7560.4400000000005,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1294,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1360.92,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,5209.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-493.08,45294,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,1090.8,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,3681.56,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,7666.400000000001,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2677.76,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,561.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,990.48,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,824.48,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1923.76,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,5010,45294,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,3023,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2997.12,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1096.64,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,650.92,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2335.76,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,598.12,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,990.52,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2276.28,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,4100,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,17236.8,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2596.16,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,705.32,45294,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,1008,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,956,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,908.32,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,849,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,751.4,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,629.32,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1513.28,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-164.72,45294,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,1754.2,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,566,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1433,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,559.76,45294,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,2076.48,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,611.6,45294,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,1032.96,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,4040,45294,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,996.8000000000001,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,3665.16,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,3650.16,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1431.2,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,532.6800000000001,45294,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,615,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1237.2,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,6286,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2473.36,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,584.48,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1351.68,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-124.8,45294,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,2833.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,4508.2,45294,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,1787.52,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,778.6800000000001,45357,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,776.8000000000001,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,826.16,45294,Additional support for 3&4yr old withSEN,Childrens Services
GREATER LONDON AUTHORITY,3721142.88,45294,Outturn Pool Contribution,Collection Fund
GREATER LONDON AUTHORITY,157338.37,45294,Gf Contrib To Discretion,Collection Fund
GREATER LONDON AUTHORITY,28096,45294,LPFA Levy,Chief Executives
GREATER LONDON AUTHORITY,90779.7,45294,Services Gov Appointed Bodies,Childrens Services
CHRIS ZUROWSKI CONSULTING LIMITED,2400,45293,Ext Site Surveys,Other General Fund
GREENWICH BSF SPV LIMITED,814744.48,45294,Services Private Contractor,Regeneration Enterprise and Sk
BANSAL AND LONG LTD,3264.66,45293,Services Private Contractor,Health and Adult Services
BANSAL AND LONG LTD,4398.35,45293,Services Private Contractor,Health and Adult Services
BANSAL AND LONG LTD,4941.2,45293,Services Private Contractor,Health and Adult Services
BANSAL AND LONG LTD,1746.65,45293,Services Private Contractor,Health and Adult Services
GREENWICH SERVICE PLUS LIMITED,1016.28,45293,Venue Hire Outreach,Chief Executives
WHYTE & CO,4501.1900000000005,45293,Student Award Payment,Chief Executives
WHYTE & CO,-3750.9900000000002,45293,Student Award Payment,Chief Executives
UK BEHAVIOUR ANALYSIS AND RESEARCH GROUP CIC,4225.85,45293,Other Services,Childrens Services
CASTLE WATER LIMITED,1712.32,45293,Water,Comm Safety and Environment
CASTLE WATER LIMITED,2070.83,45293,Water,Comm Safety and Environment
CASTLE WATER LIMITED,912.9,45293,Water,Comm Safety and Environment
CASTLE WATER LIMITED,8.98,45293,Water,Comm Safety and Environment
CASTLE WATER LIMITED,632.9300000000001,45293,Water,Comm Safety and Environment
CASTLE WATER LIMITED,7.53,45293,Water,Comm Safety and Environment
THE METRO CENTRE LTD,11781.25,45293,Grants To Voluntary Organ,Chief Executives
GREENWICH CITIZENS ADVICE BUREAU LTD,92250,45293,Grants To Voluntary Organ,Chief Executives
"BROMLEY, LEWISHAM & GREENWICH MIND LTD",6917.1900000000005,45293,Grants To Voluntary Organ,Childrens Services
ROYAL BOROUGH OF GREENWICH HERITAGE TRUST CIO,492115,45293,Grants To Voluntary Organ,Chief Executives
SETFORDS LAW LTD,8000,45294,Other Services,Housing Services HRA
PFL PROPERTIES LIMITED,5600,45293,Landlord Incentive Payments,Housing Services
PFL PROPERTIES LIMITED,7078.59,45293,Rent in Advance,Housing Services
THE LIFECARE CENTRE LIMITED,11215.24,45294,General Payments,NS General Fund
THE LIFECARE CENTRE LIMITED,-1992.18,45294,Ext Inc Other Recover Charges,Housing Services HRA
THE LIFECARE CENTRE LIMITED,-3,45294,Other Recoverage Charges,Housing Services HRA
REDACTED PERSONAL INFORMATION,666.66,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,666.66,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,666.66,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,666.66,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,666.66,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,666.66,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,666.66,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,666.66,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,1000,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,1000,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,666.66,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,1000,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,666.66,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,666.66,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,1000,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,666.66,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,666.66,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,1000,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,666.66,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,666.66,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,666.66,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,666.66,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,1041,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,1002,45299,Personal Travel Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,1048.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,38346.24,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,15352.4,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2361.56,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,14048,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,3887.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1578.68,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1583.52,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,904.32,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,803.84,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,4068.48,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1220.4,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,990,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,748.2,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,678.24,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,3206,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,715.2,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,3013.92,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,570.28,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,4737.4400000000005,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,755.52,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,679.2,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1257.68,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,5490.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2264,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1744.4,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,552.64,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,520,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,5311.8,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,4360.16,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,15512,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1036,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,519.4,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1648.92,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1754.6000000000001,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2748.2000000000003,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,3366.32,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1085.1200000000001,45294,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,1273.52,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1903.72,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,3288.32,45294,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,1782.92,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1230.92,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,4630.16,45294,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,1317.96,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,6059.400000000001,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2337.44,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,14435.28,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,592.92,45294,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,6548,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2094.2,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,4584.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2993.48,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2610.84,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,707.52,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,962.2,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1188.6000000000001,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1171.52,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2296,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,6000,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2473.4,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2313.16,45363,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,922.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1786.32,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,824.44,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2237.92,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2596.88,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,693.32,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1280,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,580.16,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2308.32,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2473.4,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2198.56,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1415,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,8554.36,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1342.04,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,9461.880000000001,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,762.88,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2225.68,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1396.64,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1243.2,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2771.44,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1694.56,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1064.16,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,694.44,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-25.72,45294,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,788.48,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,-273.44,45294,Direct Payment Income,Health and Adult Services
REDACTED PERSONAL INFORMATION,792,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,661.52,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1811.2,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,772.52,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1546.2,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1567.8,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1133.6000000000001,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1296,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,514.8,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1471.6000000000001,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2058,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,722.6800000000001,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1752,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,837.04,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,4934.72,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1160.32,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,566,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2928.8,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,11764,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1456.56,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1018.8000000000001,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,7322,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,679.2,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,3575,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1273.52,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,741.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1344.24,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,824.44,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1298.3600000000001,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,893.9200000000001,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1428,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,7973.56,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,540.3,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2748.2000000000003,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1301.8,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1188.6000000000001,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1047.1200000000001,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,5129.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,5129.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1358.4,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,3016,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1025.08,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2625.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1812,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,9910.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,908.96,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2038,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1018.8000000000001,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,679.2,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,687.04,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1782.88,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,3600,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,6800.76,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1073.44,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,655.2,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1959.3600000000001,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2583,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1668.8,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2303.08,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,697.76,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,561.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1216.8,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,702,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1276.1000000000001,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1108.32,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,3052.48,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,849,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,611.04,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1250.54,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,912.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,711.92,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,598.08,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2288.16,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1075.4,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,747.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,13928,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,2856.88,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,715.2,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1167.88,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,532.24,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,905.6,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,1044.28,45294,Community Care Direct Payments,Health and Adult Services
REDACTED PERSONAL INFORMATION,905.6,45294,Community Care Direct Payments,Health and Adult Services
